@relation student_summarization
@attribute course{88,29,110,111,46,94,218}
@attribute n_assignment{LOW,MEDIUM,HIGH}
@attribute n_posts{LOW,MEDIUM,HIGH}
@attribute n_read{LOW,MEDIUM,HIGH}
@attribute n_quiz{LOW,MEDIUM,HIGH}
@attribute n_quiz_a{LOW,MEDIUM,HIGH}
@attribute n_quiz_s{LOW,MEDIUM,HIGH}
@attribute total_time_assignment{LOW,MEDIUM,HIGH}
@attribute total_time_quiz{LOW,MEDIUM,HIGH}
@attribute total_time_forum{LOW,MEDIUM,HIGH}
@attribute mark{FAIL,PASS,GOOD,EXCELLENT}
@data
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,EXCELLENT
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,GOOD
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,PASS
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,EXCELLENT
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,EXCELLENT
88,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,GOOD
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,GOOD
