course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
88,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW
